Наименование;"Наименование артикула";Артикул;Валюта;Цена;"Доступен для заказа";"Зачеркнутая цена";"Закупочная цена";"В наличии";"В наличии @Интернет-магазин";"В наличии @Москва";"В наличии @Питер";"Краткое описание";Описание;Наклейка;Статус;"Тип товаров";Теги;"Облагается налогом";Заголовок;"META Keywords";"META Description";"Ссылка на витрину";"Дополнительные параметры";"Длина доски";"Размер обуви";Цвет;"Размер одежды";"Формат кадра";"Тип видоискателя";"Тип карт памяти";Байонет;"Тип матрицы";"Баланс белого";"Число мегапикселов матрицы";"Тип штатива";"Максимальная высота съемки";"Тип головки";"Тип объектива";"Фокусное расстояние";"Совместимые фотоаппараты";"Тип вспышки";Крепление;"Скорость съемки (кадр/сек)";Кроп-фактор;"Форматы изображения";Интерфейсы;"Стиль катания";"Уровень жесткости";"Минимальная высота руля (от платформы)";"Размеры в сложенном виде";"Колесная база";"Диаметр колеса";Тормоза;Руль;Ручки;Рама;Колеса;Платформа;"Максимальная высота руля (от платформы)";"Ширина платформы";"Длина платформы";"Максимальная нагрузка";"Вес (без заднего тормоза и аксессуаров)";"Тип экрана";Диагональ;"Разрешение экрана";HD-формат;"Поддержка 3D";"Вход HDMI";"Интерфейс USB";"Доступ в интернет (Smart TV)";DVB-T2;"Поддержка HDTV";"Возможность крепления на стену";"Формат экрана";Стереозвук;Вес;"Частота обновления ";"Интерфейс Ethernet ";"Поддержка Wi-Fi";Bluetooth;"Поддержка Skype";"Мощность звука";LED-подсветка;"Угол обзора";"Прогрессивная развертка";"Поддерживаемые форматы";Размеры;Производитель;"Вес велосипеда";MP3-проигрыватель;"Емкость аккумулятора";Процессор;ГЛОНАСС;GPS-модуль;Wi-Fi;"Поддержка 3G (UMTS)";"Слот для карты памяти";"Объем встроенной памяти";"Сенсорный экран";"Диагональ экрана";"Количество SIM-карт";"Тип корпуса";Платформа;"Тип устройства";Марка/Модель;Код;"Операционная система";"Тип SIM-карты";"Дополнительная информация";"Модельный год";"Количество скоростей";"Передний тормоз";"Задний тормоз";Высота;"Размер (детский)";"Материал рамы";"Конструкция вилки";"Ход вилки ";Женский;Складной;Амортизация;"Тип дорожного велосипеда";"Тип MTB";"Область применения";"Цвет оправы";"Материал обуви";"Цвет рамы";"Размер рамы";"Оригинальный номер";"Код производителя";"Страна происхождения";Ед.;"Цвет линзы";Пол;"Материал оправы";Затемнение;"Флексы на дужках";Поляризация;"Вид наушников";"Тип подключения";Микрофон;"Система активного шумоподавления";"Тип акустического оформления";"Регулятор громкости";"Поддержка iPhone";"Тип наушников";"Тип крепления";"Чехол/футляр в комплекте";"Разъем наушников";Изображения;Изображения;Изображения;Изображения;Изображения;Изображения;Изображения;Изображения;Изображения;Изображения;Изображения;Изображения;Изображения;Изображения;Изображения;Изображения;Изображения;Изображения;Изображения;Изображения;Изображения;Изображения;Изображения;Изображения;Изображения;Изображения;Изображения;Изображения;Изображения;Изображения;Изображения;Изображения;Изображения;Изображения;Изображения;Изображения;Изображения;Изображения;Изображения;Изображения;Изображения;Изображения;Изображения;Изображения;Изображения;Изображения;Изображения;Изображения;Изображения
ATH-M50x;черный;;RUB;10999;1;0;0;26;21;1;4;"Audio-Technica - японское качество звука";"<p>АTH-M50x – продолжение самой популярной модели ATH-M50, из года в год востребованной как профессионалами, так и любителями качественной музыки. Модель разработана для профессионального мониторинга и микширования. Она по-прежнему передает кристаллический детализированный звук, но при этом имеет усовершенствованные амбушюры и комплект съёмных кабелей.</p><ul><li>Обновлённая классика</li><li>Съёмный шнур, три кабеля в комплекте</li><li>Поворотные чашки, складная конструкция</li><li>Сбалансированное студийное звучание в расширенном диапазоне частот, глубокие басы</li><li>Закрытое акустическое оформление с превосходной звукоизоляцией</li></ul><p><a href=""http://www.audio-technica.ru/articles/#13"" target=""_blank"">Обзор наушников Audio-Technica ATH-M50x</a></p>";;1;Наушники;;;;;;1024;;;;черный;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;http://demo-ru.webasyst.com/wa-data/public/shop/products/24/10/1024/images/856/856.970.jpg;http://demo-ru.webasyst.com/wa-data/public/shop/products/24/10/1024/images/855/855.970.jpg;http://demo-ru.webasyst.com/wa-data/public/shop/products/24/10/1024/images/858/858.970.jpg;http://demo-ru.webasyst.com/wa-data/public/shop/products/24/10/1024/images/857/857.970.jpg;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ATH-M50x;белый;;RUB;10999;1;0;0;47;12;31;4;;;;1;Наушники;;;;;;1024;;;;белый;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ATH-M50x;синий/терракотовый;;RUB;11999;1;11999;9999;6;1;2;3;;;;1;Наушники;;;;;;1024;;;;синий/терракотовый;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ATH-M50x;"тёмно зелёный/коричневый";;RUB;12999;1;11999;9999;25;3;21;1;;;;1;Наушники;;;;;;1024;;;;"тёмно зелёный/коричневый";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Audio-Technica ATH-C505i";;;RUB;1290;1;0;999;6901;;;;"Для техники Apple";"<p>Гарнитура Audio-Technica C505i разработана специально для iPod, iPhone и iPad. Модель оснащена простым в использовании пультом управления с линейным контроллером для продукции Apple, позволяющим выбирать музыку, регулировать громкость и т.п. Мембраны наушников диаметром 15 мм генерируют звук самого высокого качества, который всегда был и остаётся отличительной чертой продукции Audio-Technica.</p><ul><li>Миниатюрный многофункциональный пульт управления на шнуре</li><li>Функциональная совместимость с iPod, iPhone и iPad, включая функцию гарнитуры</li></ul>";;1;Наушники;Apple;;;;;1025;;;;<{черный,красный,синий,белый}>;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Audio-Technica;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;вкладыши;"с проводом";Да;;;Да;Да;динамические;"без крепления";;"mini jack 3.5 mm";http://demo-ru.webasyst.com/wa-data/public/shop/products/25/10/1025/images/861/861.970.jpg;http://demo-ru.webasyst.com/wa-data/public/shop/products/25/10/1025/images/862/862.970.jpg;http://demo-ru.webasyst.com/wa-data/public/shop/products/25/10/1025/images/863/863.970.jpg;http://demo-ru.webasyst.com/wa-data/public/shop/products/25/10/1025/images/864/864.970.jpg;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Audio-Technica ATH-C505i";черный;;RUB;1290;1;0;999;133;121;12;0;"Для техники Apple";"<p>Гарнитура Audio-Technica C505i разработана специально для iPod, iPhone и iPad. Модель оснащена простым в использовании пультом управления с линейным контроллером для продукции Apple, позволяющим выбирать музыку, регулировать громкость и т.п. Мембраны наушников диаметром 15 мм генерируют звук самого высокого качества, который всегда был и остаётся отличительной чертой продукции Audio-Technica.</p><ul><li>Миниатюрный многофункциональный пульт управления на шнуре</li><li>Функциональная совместимость с iPod, iPhone и iPad, включая функцию гарнитуры</li></ul>";;1;Наушники;Apple;;;;;1025;;;;черный;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;http://demo-ru.webasyst.com/wa-data/public/shop/products/25/10/1025/images/861/861.970.jpg;http://demo-ru.webasyst.com/wa-data/public/shop/products/25/10/1025/images/862/862.970.jpg;http://demo-ru.webasyst.com/wa-data/public/shop/products/25/10/1025/images/863/863.970.jpg;http://demo-ru.webasyst.com/wa-data/public/shop/products/25/10/1025/images/864/864.970.jpg;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Audio-Technica ATH-C505i";красный;;RUB;1290;1;0;999;196;21;32;143;;;;1;Наушники;;;;;;1025;;;;красный;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Audio-Technica ATH-C505i";синий;;RUB;1290;1;0;999;4;0;3;1;;;;1;Наушники;;;;;;1025;;;;синий;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Audio-Technica ATH-C505i";белый;;RUB;1290;1;0;999;6568;1;6565;2;;;;1;Наушники;;;;;;1025;;;;белый;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Audio-Technica ATH-CKR3";;;RUB;1890;1;0;1499;;;;;Вставные;"<p>Audio-Technica ATH-CKR3 – это сбалансированный естественный звук в компактной форме вставных наушников.</p><p>Обновленные драйверы диаметром 9,8 мм отлично воспроизводят средние и высокие частоты, а латунные стабилизаторы поглощают ненужные вибрации и позволяют добиться звука высокого разрешения. Данная модель является самой легкой в серии и весит всего 6 грамм.</p><ul><li>наушники-вставки с ровным звучанием на всем диапазоне частот</li><li>латунные стабилизаторы</li><li>компактная форма</li><li>6 цветовых решений</li></ul><p><a href=""http://www.audio-technica.ru/articles/#6"" target=""_blank"">Обзор наушников Audio-Technica ATH-CKR3</a></p>";;1;Наушники;;;;;;1026;;;;<{черный,красный,коричневый,синий,белый,серый}>;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"вставные (""затычки"")";"с проводом";;;закрытые;;;динамические;"без крепления";Да;"mini jack 3.5 mm";http://demo-ru.webasyst.com/wa-data/public/shop/products/26/10/1026/images/866/866.970.jpg;http://demo-ru.webasyst.com/wa-data/public/shop/products/26/10/1026/images/868/868.970.jpg;http://demo-ru.webasyst.com/wa-data/public/shop/products/26/10/1026/images/869/869.970.jpg;http://demo-ru.webasyst.com/wa-data/public/shop/products/26/10/1026/images/865/865.970.jpg;http://demo-ru.webasyst.com/wa-data/public/shop/products/26/10/1026/images/867/867.970.jpg;http://demo-ru.webasyst.com/wa-data/public/shop/products/26/10/1026/images/870/870.970.jpg;http://demo-ru.webasyst.com/wa-data/public/shop/products/26/10/1026/images/871/871.970.jpg;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Audio-Technica ATH-CKR3";черный;;RUB;1890;1;0;1499;;;3;;Вставные;"<p>Audio-Technica ATH-CKR3 – это сбалансированный естественный звук в компактной форме вставных наушников.</p><p>Обновленные драйверы диаметром 9,8 мм отлично воспроизводят средние и высокие частоты, а латунные стабилизаторы поглощают ненужные вибрации и позволяют добиться звука высокого разрешения. Данная модель является самой легкой в серии и весит всего 6 грамм.</p><ul><li>наушники-вставки с ровным звучанием на всем диапазоне частот</li><li>латунные стабилизаторы</li><li>компактная форма</li><li>6 цветовых решений</li></ul><p><a href=""http://www.audio-technica.ru/articles/#6"" target=""_blank"">Обзор наушников Audio-Technica ATH-CKR3</a></p>";;1;Наушники;;;;;;1026;;;;черный;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;http://demo-ru.webasyst.com/wa-data/public/shop/products/26/10/1026/images/866/866.970.jpg;http://demo-ru.webasyst.com/wa-data/public/shop/products/26/10/1026/images/868/868.970.jpg;http://demo-ru.webasyst.com/wa-data/public/shop/products/26/10/1026/images/869/869.970.jpg;http://demo-ru.webasyst.com/wa-data/public/shop/products/26/10/1026/images/865/865.970.jpg;http://demo-ru.webasyst.com/wa-data/public/shop/products/26/10/1026/images/867/867.970.jpg;http://demo-ru.webasyst.com/wa-data/public/shop/products/26/10/1026/images/870/870.970.jpg;http://demo-ru.webasyst.com/wa-data/public/shop/products/26/10/1026/images/871/871.970.jpg;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Audio-Technica ATH-CKR3";красный;;RUB;1890;1;0;1499;;;1;;;;;1;Наушники;;;;;;1026;;;;красный;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Audio-Technica ATH-CKR3";коричневый;;RUB;1890;1;0;1499;;;;0;;;;1;Наушники;;;;;;1026;;;;коричневый;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Audio-Technica ATH-CKR3";синий;;RUB;1890;1;0;1499;;;3;;;;;1;Наушники;;;;;;1026;;;;синий;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Audio-Technica ATH-CKR3";белый;;RUB;1890;1;0;1499;;1;;0;;;;1;Наушники;;;;;;1026;;;;белый;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Audio-Technica ATH-CKR3";серый;;RUB;1890;1;0;1499;;1;;;;;;1;Наушники;;;;;;1026;;;;серый;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Audio-Technica ATH-S300";;;RUB;2180;1;0;1499;52;;;;"Классические дуговые";"<p>Audio-Technica ATH-S300 – яркие молодежные портативные наушники, созданные в концепции дизайна Bold street. Модель очень удобна для путешествий благодаря поворотным чашкам, складной конструкции и одностороннему кабелю, который не будет спутываться.</p><p>Наушники оснащены мембранами диаметром 40 мм, что обеспечивает очень мощный и многогранный звук с глубокими басами.</p><p>ATH-S300 обладают высоким уровнем пассивного шумоподавления и обеспечивают комфортное прослушивание любимой музыки в течение всего дня.</p><ul><li>яркие портативные наушники в концепции дизайна Bold street</li><li>диаметр мембраны 40 мм</li><li>односторонний не спутывающийся кабель</li><li>поворотные чашки и складная конструкция</li><li>высокий уровень пассивной шумоизоляции</li></ul>";;1;Наушники;;НДС;;;;1027;;;;<{синий,черный}>;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Audio-Technica;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;накладные;"с проводом";;;закрытые;;;динамические;оголовье;;"mini jack 3.5 mm";http://demo-ru.webasyst.com/wa-data/public/shop/products/27/10/1027/images/872/872.970.jpg;http://demo-ru.webasyst.com/wa-data/public/shop/products/27/10/1027/images/873/873.970.jpg;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Audio-Technica ATH-S300";синий;;RUB;2180;1;0;1499;27;12;2;13;"Классические дуговые";"<p>Audio-Technica ATH-S300 – яркие молодежные портативные наушники, созданные в концепции дизайна Bold street. Модель очень удобна для путешествий благодаря поворотным чашкам, складной конструкции и одностороннему кабелю, который не будет спутываться.</p><p>Наушники оснащены мембранами диаметром 40 мм, что обеспечивает очень мощный и многогранный звук с глубокими басами.</p><p>ATH-S300 обладают высоким уровнем пассивного шумоподавления и обеспечивают комфортное прослушивание любимой музыки в течение всего дня.</p><ul><li>яркие портативные наушники в концепции дизайна Bold street</li><li>диаметр мембраны 40 мм</li><li>односторонний не спутывающийся кабель</li><li>поворотные чашки и складная конструкция</li><li>высокий уровень пассивной шумоизоляции</li></ul>";;1;Наушники;;НДС;;;;1027;;;;синий;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;http://demo-ru.webasyst.com/wa-data/public/shop/products/27/10/1027/images/872/872.970.jpg;http://demo-ru.webasyst.com/wa-data/public/shop/products/27/10/1027/images/873/873.970.jpg;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Audio-Technica ATH-S300";черный;;RUB;2180;1;0;1499;25;12;3;10;;;;1;Наушники;;НДС;;;;1027;;;;черный;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
!Beats;;;;;;;;;;;;;;;1;;;;;;;beats;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Beats Powerbeats2 Wireless";;;RUB;15990;1;0;12990;296;;;;"​Звучание. Сила. Свобода.";"<ul><li>Подключите и слушайте свое устройство через Bluetooth® в радиусе 10 метров</li><li>Аккумулятор, рассчитанный на 6 часов работы</li><li>Превосходное качество звучания в легком корпусе с гибкими наушными креплениями</li><li>IPX4 Защита от пота и влаги</li><li>Принимайте звонки и управляйте музыкой с кабелем RemoteTalk™* из нескользящего материала</li><li>(*Совместим с iOS устройствами. Набор поддерживаемых функций варьируется в зависимости от устройства.)</li></ul>";;1;Наушники;;НДС;;;;1032;;;;<{красный,синий,зеленый,белый,черный,чёрный/красный,розовый}>;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Beats;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"вставные (""затычки"")";беспроводные;;;;Да;;;"крепление на ухе";;;http://demo-ru.webasyst.com/wa-data/public/shop/products/32/10/1032/images/1005/1005.970.png;http://demo-ru.webasyst.com/wa-data/public/shop/products/32/10/1032/images/956/956.970.jpg;http://demo-ru.webasyst.com/wa-data/public/shop/products/32/10/1032/images/957/957.970.jpg;http://demo-ru.webasyst.com/wa-data/public/shop/products/32/10/1032/images/958/958.970.jpg;http://demo-ru.webasyst.com/wa-data/public/shop/products/32/10/1032/images/959/959.970.jpg;http://demo-ru.webasyst.com/wa-data/public/shop/products/32/10/1032/images/960/960.970.jpg;http://demo-ru.webasyst.com/wa-data/public/shop/products/32/10/1032/images/961/961.970.jpg;http://demo-ru.webasyst.com/wa-data/public/shop/products/32/10/1032/images/962/962.970.jpg;http://demo-ru.webasyst.com/wa-data/public/shop/products/32/10/1032/images/963/963.970.jpg;http://demo-ru.webasyst.com/wa-data/public/shop/products/32/10/1032/images/964/964.970.jpg;http://demo-ru.webasyst.com/wa-data/public/shop/products/32/10/1032/images/965/965.970.jpg;http://demo-ru.webasyst.com/wa-data/public/shop/products/32/10/1032/images/966/966.970.jpg;http://demo-ru.webasyst.com/wa-data/public/shop/products/32/10/1032/images/967/967.970.jpg;http://demo-ru.webasyst.com/wa-data/public/shop/products/32/10/1032/images/968/968.970.jpg;http://demo-ru.webasyst.com/wa-data/public/shop/products/32/10/1032/images/969/969.970.jpg;http://demo-ru.webasyst.com/wa-data/public/shop/products/32/10/1032/images/970/970.970.jpg;http://demo-ru.webasyst.com/wa-data/public/shop/products/32/10/1032/images/971/971.970.jpg;http://demo-ru.webasyst.com/wa-data/public/shop/products/32/10/1032/images/972/972.970.jpg;http://demo-ru.webasyst.com/wa-data/public/shop/products/32/10/1032/images/973/973.970.jpg;http://demo-ru.webasyst.com/wa-data/public/shop/products/32/10/1032/images/974/974.970.jpg;http://demo-ru.webasyst.com/wa-data/public/shop/products/32/10/1032/images/975/975.970.jpg;http://demo-ru.webasyst.com/wa-data/public/shop/products/32/10/1032/images/976/976.970.jpg;http://demo-ru.webasyst.com/wa-data/public/shop/products/32/10/1032/images/977/977.970.jpg;http://demo-ru.webasyst.com/wa-data/public/shop/products/32/10/1032/images/978/978.970.jpg;http://demo-ru.webasyst.com/wa-data/public/shop/products/32/10/1032/images/979/979.970.jpg;http://demo-ru.webasyst.com/wa-data/public/shop/products/32/10/1032/images/980/980.970.jpg;http://demo-ru.webasyst.com/wa-data/public/shop/products/32/10/1032/images/981/981.970.jpg;http://demo-ru.webasyst.com/wa-data/public/shop/products/32/10/1032/images/982/982.970.jpg;http://demo-ru.webasyst.com/wa-data/public/shop/products/32/10/1032/images/983/983.970.jpg;http://demo-ru.webasyst.com/wa-data/public/shop/products/32/10/1032/images/985/985.970.png;http://demo-ru.webasyst.com/wa-data/public/shop/products/32/10/1032/images/987/987.970.jpg;http://demo-ru.webasyst.com/wa-data/public/shop/products/32/10/1032/images/988/988.970.jpg;http://demo-ru.webasyst.com/wa-data/public/shop/products/32/10/1032/images/989/989.970.jpg;http://demo-ru.webasyst.com/wa-data/public/shop/products/32/10/1032/images/990/990.970.jpg;http://demo-ru.webasyst.com/wa-data/public/shop/products/32/10/1032/images/991/991.970.jpg;http://demo-ru.webasyst.com/wa-data/public/shop/products/32/10/1032/images/992/992.970.jpg;http://demo-ru.webasyst.com/wa-data/public/shop/products/32/10/1032/images/993/993.970.jpg;http://demo-ru.webasyst.com/wa-data/public/shop/products/32/10/1032/images/994/994.970.jpg;http://demo-ru.webasyst.com/wa-data/public/shop/products/32/10/1032/images/995/995.970.jpg;http://demo-ru.webasyst.com/wa-data/public/shop/products/32/10/1032/images/996/996.970.jpg;http://demo-ru.webasyst.com/wa-data/public/shop/products/32/10/1032/images/997/997.970.jpg;http://demo-ru.webasyst.com/wa-data/public/shop/products/32/10/1032/images/998/998.970.jpg;http://demo-ru.webasyst.com/wa-data/public/shop/products/32/10/1032/images/999/999.970.jpg;http://demo-ru.webasyst.com/wa-data/public/shop/products/32/10/1032/images/1000/1000.970.jpg;http://demo-ru.webasyst.com/wa-data/public/shop/products/32/10/1032/images/1001/1001.970.jpg;http://demo-ru.webasyst.com/wa-data/public/shop/products/32/10/1032/images/1002/1002.970.jpg;http://demo-ru.webasyst.com/wa-data/public/shop/products/32/10/1032/images/1003/1003.970.jpg;http://demo-ru.webasyst.com/wa-data/public/shop/products/32/10/1032/images/1004/1004.970.jpg;http://demo-ru.webasyst.com/wa-data/public/shop/products/32/10/1032/images/986/986.970.png
